Incident Number,Incident Types,Reported Date,Nearest Populated Centre,Province,Company,Status,Latitude,Longitude,Pipeline Phase,Approximate Volume Released (m³),Substance,Release Type,Year,WhatHappened,WhyItHappened,Were Pipeline System Components Involved?,Pipeline System Components Involved
INC2013-198,Operation Beyond Design Limits,10/10/2013,Cromer,Saskatchewan,Enbridge Pipelines Inc.,Closed,49.753998,-101.238688,Operation,Not Applicable,Not Applicable,Not Applicable,2013,External Interference,Engineering and Planning,0,
INC2013-199,Operation Beyond Design Limits,10/10/2013,Cromer,Saskatchewan,Enbridge Pipelines Inc.,Closed,49.753998,-101.238688,Operation,Not Applicable,Not Applicable,Not Applicable,2013,External Interference,Engineering and Planning,0,
INC2013-200,Operation Beyond Design Limits,10/10/2013,Cromer,Saskatchewan,Enbridge Pipelines Inc.,Closed,49.753998,-101.238688,Operation,Not Applicable,Not Applicable,Not Applicable,2013,External Interference,Engineering and Planning,0,
INC2013-201,Operation Beyond Design Limits,10/10/2013,Cromer,Saskatchewan,Enbridge Pipelines Inc.,Closed,49.753998,-101.238688,Operation,Not Applicable,Not Applicable,Not Applicable,2013,External Interference,Engineering and Planning,0,
INC2013-202,Operation Beyond Design Limits,7/25/2013,Montreal,Quebec,Trans-Northern Pipelines Inc.,Closed,45.625321,-73.537743,Operation,Not Applicable,Not Applicable,Not Applicable,2013,External Interference,Engineering and Planning,0,
INC2013-203,Operation Beyond Design Limits,7/25/2013,Montreal,Quebec,Trans-Northern Pipelines Inc.,Closed,45.625321,-73.537743,Operation,Not Applicable,Not Applicable,Not Applicable,2013,External Interference,Engineering and Planning,0,
INC2014-003,Release of Substance,1/8/2014,Moncton,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,46.112702,-64.714397,Operation,Not Provided,Natural Gas - Sweet,Gas,2014,Equipment Failure,Maintenance,1,
INC2014-004,Release of Substance,1/9/2014,Chetwynd,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.569092,-121.944662,Operation,0.3,Hydrogen Sulphide,Miscellaneous,2014,Corrosion & Cracking,Maintenance,1,
INC2014-006,"Fire,Release of Substance",1/11/2014,Ile des Chênes,Manitoba,TransCanada PipeLines Limited,Closed,49.716512,-96.976655,Operation,2,Lube Oil,Liquid,2014,Equipment Failure,Maintenance,0,
INC2014-007,Release of Substance,1/11/2014,Dawson Creek,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.793058,-120.52672,Operation,1.78,Propane,Gas,2014,Incorrect Operation,Standards and Procedures,1,
INC2014-008,Release of Substance,1/12/2014,Bowden,Alberta,NOVA Gas Transmission Ltd.,Closed,51.911918,-113.664358,Operation,1,Natural Gas - Sweet,Gas,2014,"External Interference,Incorrect Operation",Standards and Procedures,1,Pipeline
INC2014-012,Fire,1/15/2014,Edmonton,Alberta,Enbridge Pipelines Inc.,Closed,53.5474,-113.35582,Construction,Not Applicable,Not Applicable,Not Applicable,2014,Defect & Deterioration,"Engineering and Planning,Human Factors,Maintenance,Standards and Procedures",0,
INC2014-013,Release of Substance,1/15/2014,Fort Nelson,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,58.653246,-122.684823,Operation,190,Natural Gas - Sweet,Gas,2014,Incorrect Operation,"Maintenance,Standards and Procedures",1,
INC2014-014,Release of Substance,1/16/2014,Norman Wells,Northwest Territories,Enbridge Pipelines (NW) Inc.,Closed,65.286034,-126.887048,Maintenance,0.0001,Natural Gas - Sweet,Gas,2014,"External Interference,Incorrect Operation",Standards and Procedures,1,Pipeline
INC2014-015,Release of Substance,1/16/2014,Saint John,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.273315,-66.063308,Operation,2,Natural Gas - Sweet,Gas,2014,Defect & Deterioration,Maintenance,1,
INC2014-016,Release of Substance,1/18/2014,Regina,Saskatchewan,Enbridge Pipelines Inc.,Closed,50.392646,-104.569717,Operation,20,Crude Oil - Synthetic,Liquid,2014,Defect & Deterioration,Maintenance,1,
INC2014-017,Release of Substance,1/22/2014,Wildrose,Alberta,Trans Mountain Pipeline ULC,Closed,53.5990003,-115.451183,Maintenance,17,Crude Oil - Sweet,Liquid,2014,"Equipment Failure,Incorrect Operation","Human Factors,Standards and Procedures",1,
INC2014-018,"Fire,Release of Substance",1/25/2014,Otterburne,Manitoba,TransCanada PipeLines Limited,Closed,49.503406,-97.00806,Operation,2875000,Natural Gas - Sweet,Gas,2014,"Corrosion & Cracking,Defect & Deterioration",Engineering and Planning,1,
INC2014-024,Release of Substance,2/7/2014,Fredericton,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.96376,-66.6432,Operation,0.01,Natural Gas - Sweet,Gas,2014,Equipment Failure,Maintenance,1,
INC2014-025,Fire,2/10/2014,Hardisty,Alberta,Enbridge Pipelines Inc.,Closed,52.635343,-111.267485,Operation,Not Applicable,Not Applicable,Not Applicable,2014,External Interference,"Natural or Environmental Forces,Tools and Equipment",0,
INC2014-031,Release of Substance,2/16/2014,Edmonton,Alberta,Enbridge Pipelines Inc.,Closed,53.547403,-113.355714,Operation,5,Crude Oil - Sweet,Liquid,2014,Equipment Failure,Maintenance,0,
INC2014-033,Release of Substance,2/18/2014,Rocky Mountain House,Alberta,NOVA Gas Transmission Ltd.,Closed,52.49217,-114.98816,Operation,30001,Natural Gas - Sweet,Gas,2014,"Corrosion & Cracking,Incorrect Operation",Maintenance,1,Pumping Station
INC2014-038,Fire,2/25/2014,Saint-Eustache,Quebec,Enbridge Pipelines Inc.,Closed,45.55837,-73.89573,Maintenance,Not Applicable,Not Applicable,Not Applicable,2014,Incorrect Operation,Standards and Procedures,0,
INC2014-040,Adverse Environmental Effects,3/13/2014,Maple,Ontario,TransCanada PipeLines Limited,Closed,43.8734742,-79.579834,Maintenance,Not Applicable,Not Applicable,Not Applicable,2014,Natural Force Damage,Engineering and Planning,1,Pumping Station
INC2014-041,Fire,3/13/2014,Edenwold,Alberta,Enbridge Pipelines Inc.,Closed,53.547403,-113.355714,Operation,Not Applicable,Not Applicable,Not Applicable,2014,Incorrect Operation,"Maintenance,Standards and Procedures",0,
INC2014-042,Release of Substance,3/13/2014,Saint John,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.25073225,-66.0979223,Operation,500,Natural Gas - Sweet,Gas,2014,Equipment Failure,Maintenance,1,
INC2014-043,Release of Substance,3/14/2014,Hardisty,Alberta,Enbridge Pipelines Inc.,Closed,52.635343,-111.267485,Operation,0.001,Natural Gas - Sweet,Gas,2014,Equipment Failure,Maintenance,1,Pigging
INC2014-044,Release of Substance,3/17/2014,Midale,Saskatchewan,Enbridge Pipelines Inc.,Closed,49.450607,-103.338728,Maintenance,1.75,Crude Oil - Sweet,Liquid,2014,Incorrect Operation,Standards and Procedures,0,
INC2014-045,Release of Substance,3/23/2014,Fort Nelson,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,58.65351,-122.68466,Operation,6.3,Mixed HVP Hydrocarbons,Gas,2014,Equipment Failure,Maintenance,1,
INC2014-047,Release of Substance,3/25/2014,Wainwright,Alberta,Kinder Morgan Cochin ULC,Closed,52.922575,-110.96759,Operation,Not Provided,Mixed HVP Hydrocarbons,Gas,2014,Equipment Failure,Maintenance,1,Storage Facility
INC2014-048,Release of Substance,3/27/2014,Bassano,Alberta,NOVA Gas Transmission Ltd.,Closed,50.78931,-112.46998,Operation,1110,Natural Gas - Sweet,Gas,2014,"Corrosion & Cracking,Natural Force Damage","Engineering and Planning,Maintenance",1,
INC2014-050,Release of Substance,4/1/2014,Edmonton,Alberta,Enbridge Pipelines Inc.,Closed,53.542908,-113.36445,Maintenance,2.5,Crude Oil - Sour,Liquid,2014,"Corrosion & Cracking,Equipment Failure,External Interference",Engineering and Planning,1,
INC2014-052,Release of Substance,4/7/2014,Elbow,Saskatchewan,Kinder Morgan Cochin ULC,Closed,51.17738,-106.588176,Maintenance,Not Provided,Propane,Gas,2014,Defect & Deterioration,"Engineering and Planning,Human Factors",1,Storage Facility
INC2014-053,Fire,4/9/2014,Hardisty,Alberta,Enbridge Pipelines Inc.,Closed,52.641345,-111.270617,Operation,Not Applicable,Not Applicable,Not Applicable,2014,"External Interference,Incorrect Operation","Human Factors,Inadequate Procurement",0,
INC2014-055,Release of Substance,4/10/2014,Saint John,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.273315,-66.063308,Operation,1,Natural Gas - Sweet,Gas,2014,Defect & Deterioration,"Engineering and Planning,Maintenance",1,
INC2014-056,"Release of Substance,Adverse Environmental Effects",4/10/2014,Chetwynd,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.569092,-121.944662,Operation,3,Crude Oil - Sweet,Liquid,2014,Incorrect Operation,"Maintenance,Standards and Procedures",0,
INC2014-058,Release of Substance,4/13/2014,Savona,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,50.749343,-120.857245,Operation,1522790,Natural Gas - Sweet,Gas,2014,"Equipment Failure,Incorrect Operation","Human Factors,Maintenance,Tools and Equipment",1,Pipeline
INC2014-059,Release of Substance,4/18/2014,Edmonton,Alberta,Enbridge Pipelines Inc.,Closed,53.547403,-113.355714,Operation,15,Crude Oil - Sweet,Liquid,2014,"Equipment Failure,External Interference,Natural Force Damage",Standards and Procedures,1,
INC2014-060,Release of Substance,4/19/2014,Sunnybrae,Nova Scotia,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.375146,-62.452544,Operation,56,Natural Gas - Sweet,Gas,2014,Defect & Deterioration,Maintenance,1,
INC2014-061,Release of Substance,4/24/2014,Mattice,Ontario,TransCanada PipeLines Limited,Closed,49.586667,-83.159167,Operation,0.0001,Natural Gas - Sweet,Gas,2014,"Incorrect Operation,Natural Force Damage",Engineering and Planning,1,
INC2014-062,Release of Substance,4/28/2014,Conklin,Alberta,NOVA Gas Transmission Ltd.,Closed,55.569186,-110.720302,Construction,0.001,Natural Gas - Sweet,Gas,2014,"Defect & Deterioration,External Interference,Incorrect Operation","Engineering and Planning,Failure in communication,Human Factors,Inadequate Procurement,Standards and Procedures",0,
INC2014-064,"Release of Substance,Adverse Environmental Effects",5/1/2014,Fort Nelson,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Submitted,58.653246,-122.684823,Maintenance,6.5,Amine,Miscellaneous,2014,To be determined,To be determined,0,
INC2014-065,Release of Substance,5/1/2014,Penhold,Alberta,NOVA Gas Transmission Ltd.,Closed,52.173034,-113.83314,Operation,148,Natural Gas - Sweet,Gas,2014,Natural Force Damage,Engineering and Planning,1,Compression Station
INC2014-067,Release of Substance,5/2/2014,Irma,Alberta,Alliance Pipeline Ltd.,Closed,53.031216,-111.221509,Construction,Not Provided,Natural Gas - Sweet,Gas,2014,Incorrect Operation,Human Factors,0,
INC2014-068,Release of Substance,5/6/2014,Dartmouth,Nova Scotia,Maritimes & Northeast Pipeline Management Ltd.,Closed,44.665206,-63.567743,Maintenance,30,Natural Gas - Sweet,Gas,2014,Equipment Failure,Maintenance,1,
INC2014-071,Release of Substance,5/14/2014,Not specified,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Submitted,56.146303,-120.669169,Operation,Not Provided,Natural Gas - Sweet,Gas,2014,To be determined,To be determined,0,
INC2014-074,Release of Substance,5/26/2014,Vegreville,Alberta,NOVA Gas Transmission Ltd.,Closed,53.522635,-112.075565,Operation,1114,Natural Gas - Sweet,Gas,2014,Corrosion & Cracking,Maintenance,1,
INC2014-076,Release of Substance,5/28/2014,Not specified,Manitoba,TransCanada PipeLines Limited,Closed,49.911934,-98.517574,Operation,Not Provided,Natural Gas - Sweet,Gas,2014,Incorrect Operation,Maintenance,1,
INC2014-078,Release of Substance,6/2/2014,Morinville,Alberta,Alliance Pipeline Ltd.,Closed,53.818798,-113.584867,Operation,160000,Natural Gas - Sweet,Gas,2014,"Equipment Failure,External Interference,Incorrect Operation",Maintenance,1,
INC2014-079,Fire,6/2/2014,Saint-André-Est,Quebec,Enbridge Pipelines Inc.,Closed,45.562805,-74.336053,Operation,Not Applicable,Not Applicable,Not Applicable,2014,"External Interference,Incorrect Operation","Failure in communication,Standards and Procedures",0,
INC2014-080,Operation Beyond Design Limits,6/2/2014,Oakville,Ontario,Trans-Northern Pipelines Inc.,Closed,43.39419228,-79.73731816,Operation,Not Applicable,Not Applicable,Not Applicable,2014,Incorrect Operation,"Engineering and Planning,Failure in communication",1,Pipeline
INC2014-081,Release of Substance,6/3/2014,"Killam, AB",Alberta,NOVA Gas Transmission Ltd.,Closed,52.92871,-111.88764,Operation,322,Natural Gas - Sweet,Gas,2014,"Corrosion & Cracking,Defect & Deterioration,Incorrect Operation",Maintenance,1,
INC2014-082,Release of Substance,6/5/2014,Kerrobert,Saskatchewan,Enbridge Pipelines Inc.,Closed,51.868264,-109.036068,Operation,0.0001,Natural Gas Liquids,Gas,2014,Equipment Failure,"Maintenance,Tools and Equipment",0,
INC2014-083,Fire,6/10/2014,Dawson Creek,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.814038,-120.869412,Operation,Not Applicable,Not Applicable,Not Applicable,2014,External Interference,Engineering and Planning,1,Pipeline
INC2014-084,Release of Substance,6/11/2014,Grande Prairie,Alberta,NOVA Gas Transmission Ltd.,Closed,55.24345,-119.69047,Maintenance,0.0001,Natural Gas - Sweet,Gas,2014,Natural Force Damage,Engineering and Planning,1,
INC2014-086,Operation Beyond Design Limits,6/13/2014,Fort Nelson,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,58.65309,-122.68472,Operation,Not Applicable,Not Applicable,Not Applicable,2014,To be determined,To be determined,1,
INC2014-087,Fire,6/13/2014,Prophet River,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,58.09092,-122.70921,Operation,Not Applicable,Not Applicable,Not Applicable,2014,External Interference,Natural or Environmental Forces,0,
INC2014-089,Release of Substance,6/18/2014,Geraldton,Ontario,TransCanada PipeLines Limited,Closed,49.80158,-86.7605,Operation,0.001,Natural Gas - Sweet,Gas,2014,Equipment Failure,Tools and Equipment,1,Pumping Station
INC2014-090,Fire,6/20/2014,Kerrobert,Saskatchewan,Enbridge Pipelines Inc.,Closed,51.868264,-109.036068,Maintenance,Not Applicable,Not Applicable,Not Applicable,2014,Incorrect Operation,"Engineering and Planning,Human Factors,Inadequate Supervision,Standards and Procedures",1,
INC2014-091,Release of Substance,6/21/2014,Geraldton,Ontario,TransCanada PipeLines Limited,Closed,49.80132,-86.7603,Operation,40,Natural Gas - Sweet,Gas,2014,Corrosion & Cracking,Engineering and Planning,1,
INC2014-093,Release of Substance,6/27/2014,Grande Prairie,Alberta,Alliance Pipeline Ltd.,Closed,54.528731,-118.154622,Operation,Not Provided,Natural Gas - Sweet,Gas,2014,Equipment Failure,Maintenance,1,
INC2014-095,Release of Substance,7/3/2014,Arnprior,Ontario,TransCanada PipeLines Limited,Closed,45.30533,-76.20745,Operation,0.0001,Natural Gas - Sweet,Gas,2014,Equipment Failure,"Engineering and Planning,Tools and Equipment",1,
INC2014-096,Release of Substance,7/6/2014,Crossfield,Alberta,NOVA Gas Transmission Ltd.,Closed,51.40375331,-114.0339696,Operation,2,Natural Gas - Sweet,Gas,2014,"Equipment Failure,Natural Force Damage,Other Causes","Engineering and Planning,Maintenance",1,Metering Station
INC2014-097,Fire,7/18/2014,Not specified,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.93969,-120.16184,Operation,Not Applicable,Not Applicable,Not Applicable,2014,"Defect & Deterioration,External Interference","Engineering and Planning,Maintenance",0,
INC2014-101,Release of Substance,8/1/2014,Maple,Ontario,TransCanada PipeLines Limited,Closed,43.873742,-79.579834,Operation,Not Provided,Natural Gas - Sweet,Gas,2014,To be determined,To be determined,0,
INC2014-104,Release of Substance,8/6/2014,"23 km SW of Chetwynd, BC ",British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.569092,-121.944662,Operation,63,Sulphur,Miscellaneous,2014,"Equipment Failure,Incorrect Operation","Engineering and Planning,Maintenance",0,
INC2014-105,Fire,8/11/2014,Edmonton,Alberta,Enbridge Pipelines Inc.,Closed,53.547403,-113.355714,Operation,Not Applicable,Not Applicable,Not Applicable,2014,Defect & Deterioration,Maintenance,1,
INC2014-106,Release of Substance,8/13/2014,Edmonton,Alberta,Enbridge Pipelines Inc.,Closed,53.547403,-113.355714,Operation,0.0001,Natural Gas Liquids,Gas,2014,"Equipment Failure,Incorrect Operation","Inadequate Supervision,Maintenance",1,
INC2014-110,Release of Substance,8/24/2014,Not Specified,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.56909171,-121.9446616,Operation,8.25,Sulphur,Miscellaneous,2014,Corrosion & Cracking,"Engineering and Planning,Maintenance",0,
INC2014-111,Fatality,9/2/2014,Taylor,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.146303,-120.669169,Operation,Not Applicable,Not Applicable,Not Applicable,2014,Incorrect Operation,"Human Factors,Inadequate Supervision,Standards and Procedures",0,
INC2014-112,Fire,9/8/2014,"Manning, Alberta",Alberta,NOVA Gas Transmission Ltd.,Closed,57.191516,-118.194326,Operation,Not Applicable,Not Applicable,Not Applicable,2014,Equipment Failure,Maintenance,1,Pipeline
INC2014-120,Release of Substance,9/19/2014,Chitwan,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.569092,-121.944662,Operation,Not Provided,Sulphur,Miscellaneous,2014,To be determined,To be determined,0,
INC2014-121,Release of Substance,9/22/2014,Flume Ridge,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.461,-66.99757,Maintenance,0.3,Natural Gas - Sweet,Gas,2014,Incorrect Operation,Inadequate Procurement,1,
INC2014-123,Operation Beyond Design Limits,9/29/2014,Not specified,Ontario,Trans-Northern Pipelines Inc.,Closed,43.69319,-79.60875,Operation,Not Applicable,Not Applicable,Not Applicable,2014,External Interference,Engineering and Planning,1,
INC2014-124,Release of Substance,10/2/2014,Chetwynd,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.5724,-121.9442,Operation,0.382,Sulphur,Miscellaneous,2014,"Corrosion & Cracking,Incorrect Operation",Maintenance,1,Pipeline
INC2014-126,Serious Injury (NEB or TSB),10/2/2014,Camrose,Alberta,Enbridge Pipelines Inc.,Closed,53.00696,-112.82689,Operation,Not Applicable,Not Applicable,Not Applicable,2014,Incorrect Operation,"Human Factors,Standards and Procedures",1,
INC2014-127,Release of Substance,10/3/2014,Chetwynd,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.56909171,-121.9446616,Maintenance,Not Provided,Natural Gas - Sweet,Gas,2014,"Defect & Deterioration,Incorrect Operation",Standards and Procedures,0,
INC2014-128,Fire,10/16/2014,Fort Simpson,Northwest Territories,Enbridge Pipelines (NW) Inc.,Closed,61.86168,-121.34796,Operation,Not Applicable,Not Applicable,Not Applicable,2014,"External Interference,Incorrect Operation,Other Causes",Human Factors,1,Power Generation
INC2014-129,Serious Injury (NEB or TSB),10/17/2014,Sherwood Park,Alberta,Enbridge Pipelines Inc.,Closed,53.54267,-113.35517,Maintenance,Not Applicable,Not Applicable,Not Applicable,2014,"External Interference,Incorrect Operation",Human Factors,0,
INC2014-130,Release of Substance,10/19/2014,Chetwynd,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.56909171,-121.9446616,Operation,0.0003,Hydrogen Sulphide,Miscellaneous,2014,"Equipment Failure,External Interference,Incorrect Operation",Maintenance,0,Pipeline
INC2014-131,Operation Beyond Design Limits,10/22/2014,Fox Creek,Alberta,Alliance Pipeline Ltd.,Closed,54.41803,-117.14534,Operation,Not Applicable,Not Applicable,Not Applicable,2014,Natural Force Damage,Engineering and Planning,1,Pumping Station
INC2014-132,Release of Substance,10/23/2014,Irma,Alberta,Alliance Pipeline Ltd.,Closed,53.03122,-111.2215,Operation,0.01,Natural Gas - Sweet,Gas,2014,"Equipment Failure,Incorrect Operation",Maintenance,1,
INC2014-134,Release of Substance,11/4/2014,Deux Rivieres,Ontario,TransCanada PipeLines Limited,Closed,46.23981,-78.13258,Operation,101000,Natural Gas - Sweet,Gas,2014,Incorrect Operation,"Engineering and Planning,Maintenance",1,
INC2014-136,Release of Substance,11/10/2014,Saint John,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.27322,-66.06481,Operation,0.01,Natural Gas - Sweet,Gas,2014,Equipment Failure,Tools and Equipment,1,
INC2014-137,Release of Substance,11/12/2014,Bentley,Alberta,NOVA Gas Transmission Ltd.,Closed,52.46696,-114.2987,Maintenance,0.001,Natural Gas - Sweet,Gas,2014,Defect & Deterioration,Engineering and Planning,1,
INC2014-139,Release of Substance,11/15/2014,Taylor,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.14633,-120.66918,Operation,Not Provided,Natural Gas - Sweet,Gas,2014,Equipment Failure,Maintenance,0,
INC2014-146,Release of Substance,11/27/2014,Chetwynd,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Submitted,55.56909171,-121.9446616,Operation,Not Provided,Natural Gas - Sweet,Gas,2014,To be determined,To be determined,0,
INC2014-147,Release of Substance,12/3/2014,Irma,Alberta,Alliance Pipeline Ltd.,Closed,53.032311,-111.221031,Operation,0.01,Natural Gas - Sweet,Gas,2014,"Defect & Deterioration,Equipment Failure,Incorrect Operation",Maintenance,0,Pipeline
INC2014-148,Release of Substance,12/4/2014,Kenora,Ontario,TransCanada PipeLines Limited,Closed,49.79171,-94.49432,Operation,0.01,Natural Gas - Sweet,Gas,2014,"Equipment Failure,Incorrect Operation",Maintenance,1,Pipeline
INC2014-149,Release of Substance,12/4/2014,Chetwynd,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.56909171,-121.9446616,Operation,3175,Sulphur Dioxide,Miscellaneous,2014,Equipment Failure,Maintenance,1,Pipeline
INC2014-150,Fire,12/5/2014,Lloydminster,Alberta,Cochin Pipe Lines Ltd.,Closed,52.405926,-110.026224,Construction,Not Applicable,Not Applicable,Not Applicable,2014,"Defect & Deterioration,Equipment Failure,External Interference,Incorrect Operation","Human Factors,Inadequate Procurement,Inadequate Supervision,Maintenance",0,
INC2014-151,Operation Beyond Design Limits,12/9/2014,Atmore,Alberta,NOVA Gas Transmission Ltd.,Closed,54.836647,-112.551304,Maintenance,Not Applicable,Not Applicable,Not Applicable,2014,"External Interference,Incorrect Operation",Engineering and Planning,0,
INC2014-153,Release of Substance,12/17/2014,Regina,Saskatchewan,Enbridge Pipelines Inc.,Closed,50.482408,-104.575209,Operation,173.6,Crude Oil - Sweet,Liquid,2014,Equipment Failure,"Engineering and Planning,Inadequate Procurement,Maintenance",1,Storage Facility
INC2014-154,Release of Substance,12/23/2014,Saint John,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.25902,-66.094405,Operation,100,Natural Gas - Sweet,Gas,2014,Other Causes,Maintenance,1,
INC2014-155,Release of Substance,12/23/2014,Kenora,Ontario,TransCanada PipeLines Limited,Closed,49.79171,-94.49432,Operation,0.01,Natural Gas - Sweet,Gas,2014,"Equipment Failure,Incorrect Operation","Inadequate Supervision,Maintenance",1,
INC2015-001,Release of Substance,1/9/2015,St.George,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.2022834,-66.6866022,Operation,1,Natural Gas - Sweet,Gas,2015,External Interference,Standards and Procedures,0,
INC2015-002,Operation Beyond Design Limits,1/9/2015,Bowmanville,Ontario,Trans-Northern Pipelines Inc.,Closed,43.94536,-78.661769,Operation,Not Applicable,Not Applicable,Not Applicable,2015,"External Interference,Incorrect Operation","Human Factors,Inadequate Procurement,Tools and Equipment",0,Pumping Station
INC2015-006,Fire,1/16/2015,Edmonton,Alberta,Enbridge Pipelines Inc.,Submitted,53.5421,-113.3584,Construction,Not Applicable,Not Applicable,Not Applicable,2015,"External Interference,Incorrect Operation","Maintenance,Standards and Procedures",0,
INC2015-010,Release of Substance,1/26/2015,"Mattice, Ontario",Ontario,TransCanada PipeLines Limited,Closed,49.58574,-83.16674,Operation,0.01,Natural Gas - Sweet,Gas,2015,Natural Force Damage,Engineering and Planning,1,
INC2015-013,Release of Substance,1/31/2015,Dartmouth,Nova Scotia,Maritimes & Northeast Pipeline Management Ltd.,Closed,44.719151,-63.583774,Operation,1,Fuel Gas,Gas,2015,Equipment Failure,Engineering and Planning,1,
INC2015-014,Operation Beyond Design Limits,2/4/2015,Edmonton,Alberta,Enbridge Pipelines Inc.,Closed,53.54305555,-113.3541667,Operation,Not Applicable,Not Applicable,Not Applicable,2015,"Equipment Failure,Incorrect Operation","Inadequate Supervision,Standards and Procedures",1,
INC2015-016,Release of Substance,2/8/2015,Boyle,Alberta,NOVA Gas Transmission Ltd.,Closed,54.524331,-112.665961,Operation,0.06,Natural Gas - Sweet,Gas,2015,Corrosion & Cracking,"Maintenance,Tools and Equipment",1,
INC2015-018,Release of Substance,2/15/2015,Taylor,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.1447,-120.6686,Operation,70,Water,Miscellaneous,2015,"External Interference,Incorrect Operation",Standards and Procedures,0,
INC2015-020,Release of Substance,2/26/2015,Goldboro,Nova Scotia,ExxonMobil Canada Properties,Closed,45.17170605,-61.61267605,Operation,396,Natural Gas - Sweet,Gas,2015,Equipment Failure,"Inadequate Supervision,Maintenance",1,
INC2015-021,Release of Substance,2/28/2015,Grand Prairie,Alberta,NOVA Gas Transmission Ltd.,Submitted,55.0045,-119.472,Maintenance,0.1,Natural Gas - Sweet,Gas,2015,"Corrosion & Cracking,External Interference","Human Factors,Tools and Equipment",1,Pumping Station
INC2015-022,Explosion,3/2/2015,"Milden, Saskatchewan",Saskatchewan,Enbridge Pipelines Inc.,Closed,51.446646,-107.387472,Operation,Not Applicable,Not Applicable,Not Applicable,2015,External Interference,Maintenance,1,Pipeline
INC2015-023,Release of Substance,3/3/2015,Glenboro,Manitoba,Enbridge Pipelines Inc.,Closed,49.539039,-99.288393,Maintenance,0.015,Natural Gas Liquids,Gas,2015,"External Interference,Incorrect Operation","Engineering and Planning,Failure in communication,Standards and Procedures",0,
INC2015-024,Fire,3/4/2015,Hardisty,Alberta,Enbridge Pipelines Inc.,Submitted,52.49245275,-110.8520296,Maintenance,Not Applicable,Not Applicable,Not Applicable,2015,"External Interference,Incorrect Operation","Human Factors,Inadequate Supervision,Standards and Procedures,Tools and Equipment",0,
INC2015-025,Fire,3/6/2015,Regina,Saskatchewan,Enbridge Pipelines Inc.,Submitted,50.4837281,-104.59147,Construction,Not Applicable,Not Applicable,Not Applicable,2015,Incorrect Operation,"Human Factors,Inadequate Supervision",0,
INC2015-026,Release of Substance,3/9/2015,Chetwynd,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.573,-121.941,Maintenance,2,Contaminated Water,Miscellaneous,2015,Incorrect Operation,Standards and Procedures,1,Processing Plant
INC2015-027,Release of Substance,3/9/2015,Taylor,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.1497,-120.6724,Operation,6.94,Propane,Gas,2015,External Interference,Maintenance,1,Pipeline
